SKU,Name,Brand,CPUSPEED,Model,FullCPUDescription,RAM,DRIVE,Colour,Touch,Resolution,Screen Size (Laptop Only),Chipset/GPU Model,Series
1538,HP ProBook 450 G7 Laptop | Intel i7-10510U | 16GB RAM | 512GB SSD | Win 11 - B Grade,HP,1.8,Probook 450 G7,Intel i7-10510U 1.8GHz Quad Core (4.9GHz Turbo) 10th Gen,16,512,Silver,n,1920 x 1080,15,,
1539,Dell Inspiron 3593 | W11 | i5-1035G1 | 8GB RAM 256GB SSD 1TB HDD | B Grade,Dell,1,Inspiron 3593,Intel i5-1035G1 Quad Core 1GHz-3.6GHz (10th Gen),8,256,Silver,n,1920 x 1080,15,,
1542,HP Docking station Thunderbolt 120W G2 Dock USB-C,HP,0,,,0,0,,n,,0,,
1543,"Seagate ST10000NM0096 | 10TB HDD | 3.5"" 12Gbps SAS | Firmware NA00 | NOT FOR PC",Seagate,0,ST10000NM0096,,0,10000,,n,,0,,
1544,Cisco Catalyst | WS-C2960S-48LPD-L | 48 Port Gigabit | 2x10Gbps SFP+ | 370W POE+,Cisco,0,WS-C2960S-48LPD-L,,0,0,,n,,0,,
1545,Cisco Catalyst Switch WS-C3650-48FD-S IP Switch | 48 Port 1Gbps PoE+ 10 Dual PSU,Cisco,0,WS-C3650-48FD-S,,0,0,,n,,0,,
1546,Cisco Catalyst WS-C3650-48FD-L Lan Base | 48 Port 1Gbps  PoE+ 10G SFP+,Cisco,0,WS-C3650-48FD-L,,0,0,,n,,0,,
1547,Cisco Catalyst Switch WS-C3650-48FS-S IP Base | 48 Port 1Gbps PoE+ 4xSFP,Cisco,0,WS-C3650-48FD-L,,0,0,,n,,0,,
1548,Dell Latitude 12 Rugged Tablet 7212 | i5 7300U 8GB RAM 256GB SSD | C Grade,Dell,2.6,Latitude 7212,Intel i5 7300U 2.6GHz  Dual Core (7th Gen),8,256,Black,n,1920 x 1080,12,,
1549,Dell Latitude 7490 Touch | i5-8350U | 16GB RAM | 256SSD | Win 11 | B Grade,Dell,1.7,Dell Latitude 7490,Intel i5-8350U 1.7GHz Quad Core (8th Gen),16,256,Black,y,1920 x 1080,14,,
